@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute thumb numeric
@attribute index numeric
@attribute middle numeric
@attribute ring numeric
@attribute pinky numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
169,'2020/05/08 16:20:02:549',1,56.57642,84.136108,92.699684,85.922577,69.652809,1,0
170,'2020/05/08 16:20:02:565',1,56.480721,84.140373,92.736656,85.952049,69.849777,1,0
171,'2020/05/08 16:20:02:581',1,56.423405,84.144485,92.748734,85.954826,69.999947,1,0
172,'2020/05/08 16:20:02:597',1,56.400753,84.146484,92.754227,86.012054,70.042641,1,0
173,'2020/05/08 16:20:02:617',1,56.308094,84.152313,92.788971,86.737312,70.356911,1,0
174,'2020/05/08 16:20:02:633',1,56.275185,84.154236,92.831665,86.934875,70.515938,1,0
175,'2020/05/08 16:20:02:653',1,56.252491,84.159721,93.279465,87.867233,71.223366,1,0
176,'2020/05/08 16:20:02:665',1,56.247925,84.161476,93.583794,88.126938,71.457542,1,0
177,'2020/05/08 16:20:02:681',1,56.236626,84.164963,94.227585,88.539429,71.82309,1,0
178,'2020/05/08 16:20:02:697',1,56.233589,84.166649,94.512444,88.748146,72.033966,1,0
179,'2020/05/08 16:20:02:717',1,56.215084,84.171608,95.283371,89.248276,72.628777,1,0
180,'2020/05/08 16:20:02:733',1,56.208755,84.173225,95.448608,89.348175,72.761116,1,0
181,'2020/05/08 16:20:02:749',1,56.202507,84.176369,95.563377,89.496185,72.979797,1,0
182,'2020/05/08 16:20:02:765',1,56.188297,84.179405,95.673004,89.605278,73.236504,1,0
183,'2020/05/08 16:20:02:781',1,56.182152,84.182388,95.784439,89.690361,73.54332,1,0
184,'2020/05/08 16:20:02:797',1,56.177902,84.185287,95.812889,89.758781,73.799042,1,0
185,'2020/05/08 16:20:02:822',1,56.179638,84.18811,95.858315,90.101379,74.031288,1,0
186,'2020/05/08 16:20:02:833',1,56.179012,84.189529,95.899796,89.777725,74.176079,1,0
187,'2020/05/08 16:20:02:849',1,56.178303,84.192223,96.140724,89.328087,74.432556,1,0
188,'2020/05/08 16:20:02:865',1,56.178032,84.194878,96.323097,89.13578,74.673622,1,0
189,'2020/05/08 16:20:02:881',1,56.174618,84.197495,96.422379,89.024162,74.921173,1,0
190,'2020/05/08 16:20:02:901',1,56.164757,84.199997,96.490471,88.949158,75.132568,1,0
191,'2020/05/08 16:20:02:917',1,56.159134,84.202461,96.574417,88.893105,75.311951,1,0
192,'2020/05/08 16:20:02:933',1,56.165581,84.204865,96.625977,88.848854,75.455635,1,0
193,'2020/05/08 16:20:02:949',1,56.169334,84.206032,96.639847,88.788353,75.499504,1,0
194,'2020/05/08 16:20:02:965',1,56.172058,84.208374,96.512413,88.611099,75.513771,1,0
195,'2020/05/08 16:20:02:981',1,56.163517,84.210648,96.32299,88.433998,75.48452,1,0
196,'2020/05/08 16:20:03:000',1,56.154701,84.212852,96.164963,88.325851,75.455612,1,0
197,'2020/05/08 16:20:03:017',1,56.138458,84.215034,96.051193,88.251297,75.412361,1,0
198,'2020/05/08 16:20:03:033',1,56.142387,84.217163,95.887962,88.222603,75.313332,1,0
199,'2020/05/08 16:20:03:049',1,56.132088,84.218216,95.736214,88.222916,75.223381,1,0
200,'2020/05/08 16:20:03:069',1,56.153446,84.221306,95.035255,88.223816,74.840858,1,0
201,'2020/05/08 16:20:03:081',1,56.221851,84.222313,94.849297,88.150558,74.702065,1,0
202,'2020/05/08 16:20:03:097',1,56.365295,84.224274,93.966125,88.059975,74.336395,1,0
203,'2020/05/08 16:20:03:117',1,56.368389,84.226234,92.063408,87.741791,73.93737,1,0
204,'2020/05/08 16:20:03:133',1,56.337673,84.228104,90.335007,87.601128,73.648354,1,0
205,'2020/05/08 16:20:03:149',1,56.318333,84.229057,89.971657,87.578369,73.545898,1,0
206,'2020/05/08 16:20:03:169',1,56.255783,84.231804,89.923607,87.525162,73.16198,1,0
207,'2020/05/08 16:20:03:181',1,56.235786,84.232704,89.921844,87.377266,73.116508,1,0
208,'2020/05/08 16:20:03:197',1,56.136234,84.234467,89.9524,87.221672,73.050163,1,0
209,'2020/05/08 16:20:03:217',1,56.042316,84.236214,89.962814,87.195137,73.019463,1,0
210,'2020/05/08 16:20:03:237',1,56.014858,84.23793,89.947823,87.20768,73.008476,1,0
211,'2020/05/08 16:20:03:249',1,55.997684,84.239586,89.908058,87.224434,72.998459,1,0
212,'2020/05/08 16:20:03:265',1,55.989052,84.24044,89.878693,87.246376,72.996735,1,0
213,'2020/05/08 16:20:03:281',1,55.961216,84.242065,89.822838,87.275459,72.987656,1,0
214,'2020/05/08 16:20:03:297',1,55.970505,84.243652,90.020538,87.292366,72.981377,1,0
215,'2020/05/08 16:20:03:317',1,56.066235,84.245216,90.9571,87.324181,72.98954,1,0
216,'2020/05/08 16:20:03:333',1,56.264385,84.246773,92.391907,87.676308,73.027168,1,0
217,'2020/05/08 16:20:03:349',1,56.582794,84.248276,94.02285,88.312263,73.17691,1,0
218,'2020/05/08 16:20:03:365',1,56.724552,84.249046,94.327797,88.435844,73.406487,1,0
